Wavelength(nm)	n	k
213.79	1	2.4
215.65	1.0025	2.4075
217.54	1.01	2.42
219.47	1.0225	2.4375
221.43	1.04	2.46
223.42	1.0619	2.4888
225.45	1.09	2.52
227.52	1.1275	2.5531
229.63	1.17	2.58
231.78	1.2169	2.5894
233.96	1.26	2.59
236.19	1.2906	2.585
238.46	1.31	2.58
240.78	1.3138	2.5813
243.14	1.31	2.59
245.54	1.3056	2.6106
248	1.3	2.64
250.51	1.2938	2.6756
253.06	1.29	2.72
255.67	1.2925	2.7756
258.33	1.3	2.84
261.05	1.3125	2.9119
263.83	1.33	2.99
266.67	1.3525	3.07
269.57	1.38	3.16
272.53	1.4094	3.2663
275.56	1.45	3.39
278.65	1.5013	3.5363
281.82	1.59	3.7
285.06	1.7438	3.895
288.37	1.96	4.07
291.76	2.2688	4.1819
295.24	2.6	4.22
298.8	2.8931	4.1375
302.44	3.15	4
306.17	3.3462	3.8606
310	3.5	3.71
313.92	3.6206	3.5519
317.95	3.71	3.4
322.08	3.7656	3.2725
326.32	3.81	3.16
330.67	3.8744	3.06
335.14	3.93	2.97
339.73	3.9531	2.8856
344.44	3.96	2.81
349.3	3.9556	2.7431
354.29	3.95	2.69
359.42	3.9488	2.6544
364.71	3.97	2.64
370.15	4.0331	2.6756
375.76	4.14	2.69
381.54	4.3319	2.605
387.5	4.51	2.47
393.65	4.5663	2.2906
400	4.57	2.12
406.56	4.54	2.0175
413.33	4.52	1.97
420.34	4.5488	2.0356
427.59	4.66	2.06
435.09	4.9856	1.8669
442.86	5.27	1.58
450.91	5.23	1.2381
459.26	5.08	0.92
467.92	4.9456	0.7444
476.92	4.81	0.63
486.27	4.7038	0.535
496	4.61	0.46
506.12	4.5206	0.39
516.67	4.44	0.33
527.66	4.3713	0.2913
539.13	4.31	0.24
551.11	4.2587	0.1196
563.64	4.2	0.01
576.74	4.1048	0.0063
590.48	4.01	0.006
604.88	3.9505	0.0048
620	3.9036	0.004
635.9	3.8573	0.0034
652.63	3.8143	0.003
670.27	3.7732	0.0025
688.89	3.7343	0.002
708.57	3.6975	0.0015
729.41	3.6626	0.001
751.52	3.6297	0.0006
775	3.5985	0.0003
800	3.569	0.0002
826.67	3.5412	0.0002
855.17	3.5149	0.0002
885.71	3.4901	0.0001
918.52	3.4667	0
953.85	3.4447	0
992	3.4239	0
1033.33	3.4044	0
1078.26	3.386	0
1127.27	3.3687	0
1180.95	3.3525	0
1240	3.3373	0
1305.26	3.3231	0
1377.78	3.3099	0
1458.82	3.2975	0
1550	3.286	0
1653.33	3.2753	0
1771.43	3.2654	0
1907.69	3.2562	0
2066.67	3.2477	0
2254.55	3.2399	0
2480	3.2327	0
