Wavelength(nm)	n	k
206.63	0.9354	2.416
210.14	0.9849	2.4438
213.76	1.0224	2.4794
217.51	1.0622	2.5348
221.39	1.1274	2.6016
225.42	1.2118	2.6449
229.59	1.2985	2.6531
233.92	1.3453	2.6384
238.42	1.3561	2.6448
243.1	1.3576	2.6848
247.96	1.3686	2.7506
253.02	1.3868	2.8288
258.29	1.4076	2.9284
263.79	1.444	3.0552
269.52	1.5029	3.2078
275.51	1.5865	3.3921
281.77	1.7226	3.6282
288.33	1.9891	3.9232
295.19	2.5218	4.1302
302.39	3.0995	3.9762
309.95	3.4498	3.6435
317.9	3.6196	3.3232
326.26	3.7013	3.069
335.08	3.7477	2.8622
344.39	3.7745	2.6899
354.23	3.7853	2.545
364.65	3.7941	2.4301
375.7	3.8076	2.3188
387.44	3.8003	2.21
399.94	3.7657	2.1337
413.27	3.7317	2.1087
427.52	3.7277	2.1206
442.79	3.7596	2.1566
459.19	3.8363	2.2112
476.85	3.9845	2.2804
495.92	4.3115	2.2852
516.58	4.5133	1.9618
539.04	4.4921	1.7886
563.55	4.5208	1.7468
590.38	4.7046	1.8028
619.9	5.2388	1.3784
652.53	5.052	0.8287
688.78	4.8166	0.6113
729.29	4.643	0.4849
774.87	4.5067	0.4163
826.53	4.3879	0.3445
1480.36	4.038	0.1
1549.75	4.01	0.089
1653.07	3.974	0.067
1771.14	3.942	0
2066.33	3.887	0
