Wavelength (nm)	n	k
414.06	 2.09972	 0.01537
428.11	 2.09183	 0.01468
447.79	 2.08296	 0.01396
464.66	 2.07507	 0.01320
484.34	 2.06817	 0.01262
506.83	 2.06225	 0.01196
529.32	 2.05634	 0.01145
554.62	 2.05042	 0.01104
582.73	 2.04451	 0.01065
613.65	 2.04056	 0.01027
644.58	 2.03662	 0.00994
675.50	 2.03268	 0.00966
717.67	 2.02873	 0.00933
765.46	 2.02479	 0.00903
807.63	 2.02183	 0.00890
855.42	 2.01887	 0.00881
903.21	 2.01789	 0.00873
951.00	 2.01592	 0.00866
998.79	 2.01394	 0.00866
1057.83	 2.01296	 0.00866
1111.25	 2.01296	 0.00873
1159.04	 2.01099	 0.00875
1206.83	 2.01000	 0.00875
1257.43	 2.00901	 0.00879
1305.22	 2.00901	 0.00890
1355.82	 2.00803	 0.00902
1412.05	 2.00803	 0.00906
1459.84	 2.00704	 0.00918
1507.63	 2.00704	 0.00929
1555.42	 2.00704	 0.00932
1606.02	 2.00704	 0.00945
1645.38	 2.00606	 0.00952
1681.93	 2.00606	 0.00960
